SKU_Code,Product_Name,Brand,Category,Train_Days,Test_Days,Actual_Total,Forecast_Total,MAE,MAPE,Accuracy
573559,LAKME FACELIFT FND STICKNEUTRALALMOND,Lakme,MAKEUP,166,27,63.0,58.084867238132645,1.202115958701189,1974.0523355834196,0.0
571933,LAKME 9-5 P+S LIP SM1 BLUSH MAUVE,Lakme,MAKEUP,172,20,52.0,33.82419085262825,1.3185720631962665,3546.4714145244466,0.0
574746,TRESEMME SMOOTH & SHINE SHAMPOO 580 ML,TRESEMME,HAIR CARE,149,22,53.0,68.39187087036913,1.5376293268550165,5874.621713148732,0.0
557159,LAKME ABS 3D LASH VOLUMIZER,Lakme,MAKEUP,150,26,82.0,57.08562596254131,1.645539659270706,2371.1024945482386,0.0
564257,LAKME PERFDEFNTN LIPLINER RICH WINE,Lakme,MAKEUP,136,13,18.0,65.69007534317836,2.2926588956661775,12950.840921914147,0.0
562946,LAKME LUMI SKIN CREAM 30G,Lakme,SKIN,176,22,47.0,50.7416361455388,1.1674929830858725,4515.314698595965,0.0
549382,LAKME LIP LOVE CHAPSTICK STRAWBERRY 4.5G,Lakme,SKIN,164,19,46.0,48.66444611784569,1.2266110868363453,5534.838312515076,0.0
545194,LAKME EYECONIC CLASSIC BROWN 0.35G,Lakme,MAKEUP,162,16,30.0,55.57175247758992,1.3405174262700292,8203.560212572003,0.0
574742,DOVE DAILY SHINE SHAMPOO 650 ML,DOVE,HAIR CARE,144,23,60.0,60.97292078011254,1.2773808631716441,4293.637758346928,0.0
535310,V WASH PLUS 100ML,V Wash,PW,161,20,39.0,64.41438964934639,1.1369614106374295,6914.081366646275,0.0
567373,LAKME BLUSH GLOW WATERMELON SHET MSK25ML,Lakme,SKIN,151,17,29.0,58.39121719441703,1.2656632671163444,8729.264911276397,0.0
555909,LAKME ABS 3D LIPSTICK 09 WINE WHISPER,Lakme,MAKEUP,160,26,56.0,39.27727453755497,1.0069086686416995,1491.8411345185018,0.0
528815,VAS HEALTHY WHITE SPF24 300ML,Vaseline,SKIN,155,24,47.0,67.71981674326274,1.1596085497023945,4212.369030888916,0.0
570965,SIMPLE SERUM HA+B5 30 ML,Simple,SKIN,168,21,45.0,36.69902427454157,1.0684305608112858,3406.2350072984673,0.0
572517,LAKME ABS LUMNSSKINTINT FND C300COLCINMN,Lakme,MAKEUP,169,18,29.0,41.791238798993945,0.8173547254559751,4975.38885502062,0.0
526208,DOVE SH 650 INT DAMAGE THERPAY,DOVE,HAIR CARE,146,21,40.0,68.2684609337946,1.0576675198062286,6329.672927592768,0.0
506152,LAK 9TO5 FLAWLESS MATTE APRICT,Lakme,MAKEUP,148,23,47.0,50.67068895258269,1.2016966727398495,3574.584460977956,0.0
547494,LAKME PEACH MILK MOIST SPF24 200M,Lakme,SKIN,162,19,30.0,51.116805819724085,0.9804410467240706,6327.35319161495,0.0
568967,PONDS SUPER LIGHT GEL 247G,Ponds,SKIN,158,25,64.0,44.760556406374455,1.263088582070916,2543.070490459899,0.0
555904,LAKME ABS 3D LIPSTICK 04 PLUM SPELL,Lakme,MAKEUP,159,21,39.0,33.87174817705574,0.8473952222963107,2764.118270832688,0.0
571135,LBP CURRY LEAVES SHAMPOO 200ML,LBP,HAIR CARE,155,20,31.0,36.67265583938751,0.7770982901650413,3883.8645486049095,0.0
508825,LAK CLEANSING MILK 120ML,Lakme,SKIN,161,19,31.0,53.73533709785117,1.2021519697234675,6244.343082051002,0.0
531219,LAK PF RADIANCE NIGHT CRM 50G,Lakme,SKIN,162,24,46.0,48.91036595869837,0.9852642046200234,3422.979677978613,0.0
540363,LAK 9TO5 WGTLESS M BEIG VANILA,Lakme,MAKEUP,154,17,38.0,42.57466048351724,1.2197868278260449,6177.866372787292,0.0
529497,VAS BODY LTN COCOA GLOW 300ML,Vaseline,SKIN,120,25,55.0,23.351066131496513,1.3519795931190581,1397.76848396971,0.0
527495,LAK PERF RAD COMPACT SPF20 03,Lakme,MAKEUP,161,18,23.0,62.91055774537621,1.3810010210223345,8594.48909600644,0.0
571427,LAKME SOLUTION MASK REVITALIZING 25ML,Lakme,SKIN,138,21,34.0,50.41109261687617,1.1094311733480782,5022.310898124986,0.0
545192,LAKME 9TO5 P+M COMPACT NATURALALMOND9G,Lakme,MAKEUP,157,16,27.0,40.26711762713231,1.0551919338446258,6222.105560835175,0.0
567374,LAKME BLUSHGLOW POMEGRANATE SHET MSK25ML,Lakme,SKIN,138,22,38.0,44.89410575566424,1.0515774968908533,4253.811538276726,0.0
571234,LAKME TRUEWEAR COLOR CRUSH 20,Lakme,MAKEUP,145,21,38.0,41.47365645873859,0.9802694072993471,4148.058414027083,0.0
545191,LAKME 9TO5 P+M COMPACT HONEY DEW9G,Lakme,MAKEUP,144,21,36.0,45.25828791326466,1.0036684857521756,4585.032336549029,0.0
571136,LBP CURRY LEAVES SHAMPOO 400ML,LBP,HAIR CARE,152,26,43.0,48.91953636952836,1.0432914961851647,2410.945634094809,0.0
573749,LAKME ULTIMATEGLAMCHROMENAIL RED6ML,Lakme,MAKEUP,143,23,40.0,73.89359213552413,1.3457249208332245,5323.664274998508,0.0
526308,PONDS AM DAY CREAM SPF15 50G,Ponds,SKIN,157,17,32.0,67.27581655884703,1.598714745476447,9601.401545507535,0.0
553094,PONDS WHITE BEAUTY FACEWASH 150G,Ponds,SKIN,125,23,78.0,57.460138823286414,1.9639884747398864,4823.179024712667,0.0
